feature,mean_abs_shap
categorical__Contract_Month-to-month,0.07719829643372295
numerical__tenure,0.055079813542456446
categorical__InternetService_Fiber optic,0.04131333321153831
categorical__OnlineSecurity_No,0.03831898396037738
categorical__Contract_Two year,0.036331255456199946
numerical__TotalCharges,0.03221401355669474
categorical__TechSupport_No,0.02815943179332138
categorical__PaymentMethod_Electronic check,0.023657107547016994
numerical__MonthlyCharges,0.018878759902815203
categorical__InternetService_DSL,0.01764982192715329
categorical__OnlineBackup_No,0.012634200037521455
categorical__Contract_One year,0.011050027200320611
categorical__OnlineSecurity_Yes,0.010656847715278002
categorical__StreamingMovies_No internet service,0.009573140070377949
categorical__TechSupport_Yes,0.0079715358759575
categorical__PaperlessBilling_Yes,0.007784122578794702
categorical__PaperlessBilling_No,0.007567478058815837
categorical__StreamingTV_Yes,0.007078637697532216
categorical__StreamingTV_No internet service,0.006152341666578633
categorical__InternetService_No,0.00603780266575639
categorical__StreamingMovies_Yes,0.005912761893383928
categorical__Dependents_No,0.005153780621956196
categorical__TechSupport_No internet service,0.005017798111334555
categorical__OnlineBackup_Yes,0.004748938436101497
categorical__MultipleLines_Yes,0.004734386822446839
categorical__MultipleLines_No,0.004586148636710467
categorical__DeviceProtection_No,0.004551625236246442
categorical__Dependents_Yes,0.00454051523161693
categorical__OnlineSecurity_No internet service,0.004495579931891228
categorical__OnlineBackup_No internet service,0.004301428230744209
categorical__StreamingMovies_No,0.00419109716046845
categorical__StreamingTV_No,0.004180825229024876
numerical__SeniorCitizen,0.00414032463046646
categorical__PaymentMethod_Bank transfer (automatic),0.003909352769506854
categorical__DeviceProtection_No internet service,0.0037914397527240118
categorical__Partner_Yes,0.0035213445490322125
categorical__PaymentMethod_Credit card (automatic),0.0032172479112898673
categorical__Partner_No,0.0031851723932139046
categorical__gender_Male,0.0023890602404979715
categorical__PaymentMethod_Mailed check,0.002297634659303891
categorical__gender_Female,0.002242496027933424
categorical__MultipleLines_No phone service,0.0015331775171624647
categorical__DeviceProtection_Yes,0.0014109263954841104
categorical__PhoneService_No,0.00134795858064864
categorical__PhoneService_Yes,0.001336221251859138
